Customer_ID,Age,Income,Credit_Score,Credit_Utilization,Missed_Payments,Delinquent_Account,Loan_Balance,Debt_to_Income_Ratio,Employment_Status,Account_Tenure,Credit_Card_Type,Location,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Loan_to_Tenure,Employment_Risk,Total_Monthly_Delinquencies,Delinquency_Trend,Income_per_Debt,Risk_Score_Interaction,Miss_Rate
CUST0001,56,165580.0,398.0,0.390501929,3,0,16310.0,0.317396115,Employed,18,Student,Los Angeles,Late,Late,Missed,Late,Missed,Late,858.421052631579,0,4,1.3333333333333335,10.151431549261234,242.580232258,0.15789473684210525
CUST0002,69,100999.0,493.0,0.312444033,6,1,17401.0,0.196092643,Self-Employed,0,Standard,Phoenix,Missed,Missed,Late,Missed,On-time,On-time,17401.0,1,1,-0.16666666666666666,5.80387311803241,338.965091731,6.0
CUST0003,46,188416.0,500.0,0.359930239,0,0,13761.0,0.30165494,Self-Employed,1,Platinum,Chicago,Missed,Late,Late,On-time,Missed,Late,6880.5,1,3,0.5,13.691033280046504,320.0348805,0.0
CUST0004,32,101672.0,413.0,0.371400355,3,0,88778.0,0.264794439,Unemployed,15,Platinum,Phoenix,Late,Missed,Late,Missed,Late,Late,5548.625,1,4,1.3333333333333335,1.1452257853771726,259.611653385,0.1875
CUST0005,60,38524.0,487.0,0.234715863,2,0,13316.0,0.510583483,Self-Employed,11,Standard,Phoenix,Missed,On-time,Missed,Late,Late,Late,1109.6666666666667,1,3,2.5,2.8928437335736277,372.69337471899996,0.16666666666666666
CUST0006,25,84042.0,700.0,0.65054043,6,0,48361.0,0.260687881,Unemployed,7,Gold,New York,On-time,Late,Missed,Missed,Missed,Late,6045.125,1,2,0.6666666666666667,1.7377693230222075,244.62169900000004,0.75
CUST0007,38,35056.0,354.0,0.390580941,3,0,4638.0,0.484265137,Employed,17,Platinum,New York,On-time,Missed,Missed,Late,Missed,Late,257.6666666666667,0,2,1.6666666666666667,7.556801034705756,215.73434688599997,0.16666666666666666
CUST0008,56,123215.0,415.0,0.532714667,5,0,55776.0,0.358695229,Employed,1,Student,New York,On-time,On-time,On-time,Late,Missed,Late,27888.0,0,2,1.6666666666666667,2.2090646682324255,193.923413195,2.5
CUST0009,36,66991.0,405.0,0.413034848,5,1,0.0,0.219854103,Employed,12,Student,Phoenix,On-time,On-time,On-time,Missed,Late,On-time,0.0,0,1,0.8333333333333334,66991.0,237.72088656,0.38461538461538464
CUST0010,40,34870.0,679.0,0.361823918,4,0,93922.0,0.333081093,Employed,5,Business,Los Angeles,On-time,Missed,Missed,On-time,Missed,Missed,15653.666666666666,0,0,0.0,0.3712615653247873,433.32155967799997,0.6666666666666666
